Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank
beqom,https://www.crunchbase.com/organization/excentive-international,Software,"Fribourg, Fribourg, Switzerland",beqom provides management software that addresses all performance and compensation aspects of businesses.,"10,000"
Cloud 66,https://www.crunchbase.com/organization/cloudblocks,Software,"London, England, United Kingdom","Ops tools for Devs. Build, manage and maintain applications on any cloud","9,985"
Beekast,https://www.crunchbase.com/organization/beekast-2,"Media and Entertainment, Data and Analytics, Events, Community and Lifestyle, Software, Education, Messaging and Telecommunications, Design, Mobile","Paris, Ile-de-France, France",Beekast is an innovative app to engage your audience facilitating interactive presentations.,"9,937"
Canopy Tax,https://www.crunchbase.com/organization/beanstalk-tax,Software,"Lehi, Utah, United States",Cloud platform to grow your tax practice,"9,919"
Visual Revenue,https://www.crunchbase.com/organization/visual-revenue,"Data and Analytics, Software","New York, New York, United States",Visual Revenue is a real-time predictive analytics platform developing a suite of tools providing decision support for editors content.,"9,893"
Truly Wireless,https://www.crunchbase.com/organization/truly-wireless,"Hardware, Information Technology, Software","New York, New York, United States","Truly Wireless offers an enterprise phone system that runs entirely on smartphones, at a fraction of the cost.","9,882"
Divide,https://www.crunchbase.com/organization/divide,"Information Technology, Software, Mobile","New York, New York, United States","Divide is a dual-persona platform, which separates iOS and android devices into two personas for work and play.","9,849"
Cantaloupe Systems,https://www.crunchbase.com/organization/cantaloupe-systems,Software,"San Francisco, California, United States",Cantaloupe Systems provides wireless machine monitoring and management solutions to the vending industry.,"9,847"
Forcepoint,https://www.crunchbase.com/organization/forcepoint,"Information Technology, Software, Privacy and Security","Austin, Texas, United States",Forcepoint empowers organizations to concentrate on what’s most important to them while automating routine security tasks.,"9,801"
PetDesk,https://www.crunchbase.com/organization/locaii,"Apps, Information Technology, Software, Sales and Marketing, Mobile","San Diego, California, United States",CRM software for pet care providers to promote pet health,"9,791"
Lumeon,https://www.crunchbase.com/organization/lumeon,"Information Technology, Data and Analytics, Software, Health Care, Internet Services","London, England, United Kingdom",Lumeon is a digital health company providing care pathway management solutions to the healthcare industry.,"9,787"
Viridis Learning,https://www.crunchbase.com/organization/viridis-learning,"Software, Professional Services","New York, New York, United States","Viridis, a human capital technology SaaS solution, that matches skill deficiencies with local employer needs of middle skill labor.","9,781"
Streamdata.io,https://www.crunchbase.com/organization/streamdata-io,"Platforms, Software, Internet Services, Mobile","Meylan, Rhone-Alpes, France",Turn APIs into Real-time Experiences,"9,763"
"Punchh, Inc.",https://www.crunchbase.com/organization/punchh,"Media and Entertainment, Information Technology, Data and Analytics, Software, Sales and Marketing, Internet Services, Mobile","Mountain View, California, United States","Punchh offers mobile solutions that enable restaurants to engage customers, reward them for loyalty, and spread word of mouth.","9,720"
Bonusly,https://www.crunchbase.com/organization/bonus-ly,"Software, Professional Services","Brooklyn, New York, United States",Bonusly helps companies reward and motivate employees using peer bonuses.,"9,716"
TrekkSoft,https://www.crunchbase.com/organization/trekksoft,"Travel and Tourism, Software","Interlaken, Bern, Switzerland",TrekkSoft offers a booking and payment solution for the tours and activities market.,"9,708"
Nulogy,https://www.crunchbase.com/organization/nulogy,"Manufacturing, Software, Transportation, Internet Services","Toronto, Ontario, Canada",Nulogy is a provider of specialized solutions for complex supply-chain operations.,"9,673"
Webgility,https://www.crunchbase.com/organization/webgility,"Commerce and Shopping, Information Technology, Data and Analytics, Software, Sales and Marketing, Professional Services, Financial Services","San Francisco, California, United States",Webgility is revolutionizing the way SMB retailers run their business.,"9,672"
SALESmanago,https://www.crunchbase.com/organization/salesmanago,"Commerce and Shopping, Information Technology, Data and Analytics, Software, Sales and Marketing, Internet Services, Mobile","Kraków, Malopolskie, Poland",SALESmanago operates a cloud-based online marketing automation platform used by over 5000 companies in 40 countries.,"9,647"
ProcessUnity,https://www.crunchbase.com/organization/processunity,Software,"Concord, Massachusetts, United States","ProcessUnity, a risk management software solutions firm, provides visibility and control to assess, measure and mitigate risk.","9,644"
Spreedly,https://www.crunchbase.com/organization/spreedly,"Commerce and Shopping, Software, Payments, Financial Services, Mobile","Durham, North Carolina, United States",Spreedly is a cloud-based credit card vault that allows users to work with multiple payment gateways simultaneously.,"9,615"
Provenance,https://www.crunchbase.com/organization/provenance,"Hardware, Commerce and Shopping, Software, Transportation, Financial Services","London, England, United Kingdom","Provenance offers a web-based platform that enables brands to trace the origins and histories of materials, ingredients, and products.","9,600"
Virtkick,https://www.crunchbase.com/organization/virtkick,"Hardware, Information Technology, Software, Internet Services","San Antonio, Texas, United States","They let independent hosting companies increase conversion rates, simplify server management and take on the biggest players.","9,581"
Loopd,https://www.crunchbase.com/organization/loopd-via,"Hardware, Information Technology, Data and Analytics, Software, Sales and Marketing","San Francisco, California, United States",Loopd is the world's most advanced event engagement platform. Loopd helps transform attendees into loyal customers.,"9,544"
AlertMedia,https://www.crunchbase.com/organization/alert-media,"Software, Mobile","Austin, Texas, United States",AlertMedia is an enterprise communications and monitoring service,"9,536"
Involver,https://www.crunchbase.com/organization/involver,"Software, Sales and Marketing","San Francisco, California, United States",Involver offers a social marketing platform that provides SaaS-based tools to help businesses manage their marketing on social media sites.,"9,533"
Tierion,https://www.crunchbase.com/organization/tierion,"Software, Payments, Financial Services","Hartford, Connecticut, United States",Tierion is a powerful engine for collecting data and recording it in the blockchain.,"9,520"
HighRoads,https://www.crunchbase.com/organization/highroads,"Information Technology, Software","Ottawa, Ontario, Canada","HighRoads offers SaaS-based solutions that streamline data management, optimize workflow, and ensure regulatory compliance in enterprises.","9,512"
Leapfin,https://www.crunchbase.com/organization/leap-4,"Software, Financial Services","San Francisco, California, United States",Finance Operation Automation Platform,"9,503"
Credly,https://www.crunchbase.com/organization/credly,"Software, Education, Internet Services","New York, New York, United States","Achievements, verified and shared.","9,500"
Emergent Payments,https://www.crunchbase.com/organization/emergent-payments,"Commerce and Shopping, Software","New York, New York, United States",Emergent Payments provides total commerce solutions for micro-transaction-based businesses in the gaming and entertainment industries.,"9,470"
Ambition,https://www.crunchbase.com/organization/ambition-inc,Software,"Chattanooga, Tennessee, United States",Ambition provides sales performance management software.,"9,464"
Roojoom,https://www.crunchbase.com/organization/roojoom,"Software, Sales and Marketing, Advertising","Massachusetts, United States, North America",Roojoom is an innovative Customer Journey Management Platform used by enterprises to increase customer lifetime value,"9,459"
